ebird_code,code
ameavo,179043
amegfi,315598
amegfi,496109
amerob,175222
amewoo,418105
astfly,122904
bawwar,141213
bewwre,217924
bkhgro,372614
bkpwar,257130
boboli,179961
boboli,296892
brespa,149225
brnthr,321692
brthum,132886
btnwar,173265
btnwar,297402
buhvir,306387
bulori,256909
calqua,413031
canwar,182148
canwre,297532
casfin,247688
chispa,383963
comloo,189383
coshum,218781
easblu,353003
easmea,132665
easmea,370242
eawpew,382869
eucdov,381184
fiespa,134873
foxspa,339642
foxspa,439916
gadwal,182283
gadwal,436359
gnwtea,365527
gocspa,481151
grcfly,164563
greroa,254871
grhowl,434219
grnher,147343
hamfly,345780
herthr,149583
hoowar,379050
horgre,401780
houfin,219358
lesgol,272326
lobcur,278346
logshr,235781
louwat,176655
louwat,299479
marwre,290131
moudov,31138
moudov,153641
norhar2,483749
normoc,503815
norwat,386250
osprey,466214
perfal,448574
pingro,167550
pinsis,135664
rebnut,319180
reevir1,134099
ribgul,445793
rocpig,349160
rocwre,109272
rocwre,315322
rthhum,211131
rudduc,299485
rusbla,172830
savspa,325942
savspa,377857
sora,302904
stejay,329104
swathr,143409
swathr,484167
tuftit,168051
veery,142332
veery,149633
vesspa,54530
wesblu,351734
wesgre,360213
wewpew,264712
wewpew,347895
wlswar,126439
wooscj2,452524
wooscj2,495413
y00475,451356
yetvir,389085
mouchi,109937
bkcchi,304270
